0,1,2,3,4
33.1266154,-117.3274245,-19.796,1.569,1.57
33.1266144,-117.327424,-19.802,1.608,1.57
33.1266135,-117.3274237,-19.828,1.63,1.61
33.1266126,-117.3274233,-19.792,1.641,1.63
33.1266118,-117.3274228,-19.779,1.631,1.64
33.126611,-117.3274224,-19.764,1.617,1.63
33.1266103,-117.3274222,-19.729,1.593,1.62
33.1266095,-117.3274218,-19.744,1.594,1.59
33.1266087,-117.3274213,-19.767,1.615,1.59
33.1266078,-117.3274207,-19.796,1.633,1.62
33.1266069,-117.3274201,-19.777,1.676,1.63
33.126606,-117.3274196,-19.782,1.704,1.68
33.1266051,-117.3274192,-19.811,1.689,1.7
33.1266043,-117.3274186,-19.832,1.692,1.69
33.1266035,-117.3274182,-19.879,1.662,1.69
33.1266028,-117.3274177,-19.905,1.632,1.66
33.126602,-117.3274173,-19.895,1.612,1.63
33.1266011,-117.327417,-19.916,1.609,1.61
33.1266003,-117.3274166,-19.927,1.613,1.61
33.1265994,-117.3274161,-19.941,1.633,1.61
33.1265985,-117.3274156,-19.953,1.641,1.63
33.1265975,-117.3274151,-19.975,1.692,1.64
33.1265966,-117.3274147,-19.971,1.7,1.69
33.1265958,-117.3274143,-19.989,1.675,1.7
33.126595,-117.3274139,-20.029,1.661,1.67
33.1265942,-117.3274134,-20.01,1.662,1.66
33.1265934,-117.327413,-19.997,1.673,1.66
33.1265926,-117.3274126,-20.017,1.654,1.67
33.1265919,-117.3274122,-20.072,1.616,1.65
33.1265911,-117.3274117,-20.115,1.649,1.62
33.1265902,-117.3274111,-20.126,1.729,1.65
33.1265894,-117.3274106,-20.133,1.751,1.73
33.1265886,-117.3274102,-20.145,1.709,1.75
33.1265879,-117.3274098,-20.158,1.662,1.71
33.1265871,-117.3274093,-20.203,1.673,1.66
33.1265864,-117.327409,-20.233,1.625,1.67
33.1265856,-117.3274087,-20.235,1.611,1.62
33.1265849,-117.3274083,-20.237,1.597,1.61
33.1265841,-117.3274078,-20.258,1.638,1.6
33.1265832,-117.3274073,-20.275,1.696,1.64
33.1265823,-117.3274069,-20.302,1.726,1.7
33.1265815,-117.3274066,-20.311,1.708,1.73
33.1265807,-117.3274063,-20.34,1.687,1.71
33.1265798,-117.3274059,-20.312,1.729,1.69
33.126579,-117.3274055,-20.283,1.739,1.73
33.1265782,-117.3274052,-20.303,1.692,1.74
33.1265775,-117.3274049,-20.303,1.652,1.69
33.1265766,-117.3274046,-20.285,1.691,1.65
33.1265757,-117.3274041,-20.276,1.767,1.69
33.1265748,-117.3274037,-20.293,1.784,1.77
33.1265742,-117.3274033,-20.315,1.716,1.78
33.1265734,-117.3274031,-20.312,1.675,1.72
33.1265727,-117.3274028,-20.299,1.626,1.68
33.126572,-117.3274024,-20.29,1.633,1.63
33.1265712,-117.3274021,-20.307,1.626,1.63
33.1265705,-117.3274018,-20.319,1.611,1.63
33.1265697,-117.3274016,-20.292,1.598,1.61
33.1265689,-117.3274012,-20.29,1.627,1.6
33.1265681,-117.3274008,-20.323,1.667,1.63
33.1265673,-117.3274004,-20.339,1.71,1.67
33.1265665,-117.3274,-20.323,1.71,1.71
33.1265658,-117.3273996,-20.323,1.686,1.71
33.126565,-117.3273993,-20.324,1.684,1.69
33.1265641,-117.327399,-20.304,1.694,1.68
33.1265635,-117.3273985,-20.326,1.65,1.69
33.1265628,-117.327398,-20.328,1.626,1.65
33.1265621,-117.3273975,-20.336,1.652,1.63
33.1265614,-117.327397,-20.33,1.666,1.65
33.1265606,-117.3273967,-20.335,1.663,1.67
33.12656,-117.3273963,-20.365,1.631,1.66
33.1265592,-117.3273958,-20.36,1.651,1.63
33.1265585,-117.3273953,-20.371,1.648,1.65
33.1265579,-117.327395,-20.362,1.598,1.65
33.1265572,-117.3273947,-20.347,1.567,1.6
33.1265565,-117.3273943,-20.356,1.544,1.57
33.1265558,-117.3273939,-20.385,1.565,1.54
33.1265551,-117.3273935,-20.387,1.581,1.57
33.1265544,-117.327393,-20.394,1.607,1.58
33.1265537,-117.3273927,-20.389,1.616,1.61
33.126553,-117.3273924,-20.394,1.597,1.62
33.1265524,-117.3273922,-20.437,1.56,1.6
33.1265517,-117.3273919,-20.416,1.572,1.56
33.1265509,-117.3273914,-20.425,1.599,1.57
33.1265502,-117.327391,-20.425,1.603,1.6
33.1265495,-117.3273905,-20.437,1.629,1.6
33.1265488,-117.3273901,-20.44,1.632,1.63
33.1265481,-117.3273897,-20.454,1.638,1.63
33.1265474,-117.3273893,-20.478,1.645,1.64
33.1265467,-117.3273889,-20.477,1.64,1.65
33.126546,-117.3273886,-20.461,1.63,1.64
33.1265453,-117.3273882,-20.458,1.634,1.63
33.1265446,-117.3273879,-20.455,1.606,1.63
33.126544,-117.3273876,-20.465,1.574,1.61
33.1265433,-117.3273873,-20.484,1.568,1.57
33.1265425,-117.327387,-20.498,1.576,1.57
33.1265418,-117.3273865,-20.506,1.599,1.58
33.126541,-117.327386,-20.488,1.639,1.6
33.1265402,-117.3273855,-20.514,1.661,1.64
